Police_Station,Crime No.,Age,Gender,Gender,Road Type,Road_Type,Place,Incident_Area,Vehicle,Vehicle_Type,Alcohol Status,Alcohal_Status,Traffic Violation Type,Traffic_Violation_Type,Crime Section,ACT_279-323,Act_279-294-337,ACT_279-304-A,ACT_279-294-506,Date,Time,Date_Time,Incident Place,Latitude,Longitude
ABHANPUR,571/19,Unknown,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,09.08.2019,17:00,09-08-19 17:00,ग्राम भरेंगाभांठा एवं परसुली के बीच,21.32514,81.639546
ABHANPUR,362/19,40,M,0,SH,1,R,1,Truck/Trolly,7,No,1,Over Speeding,3,279,1,0,0,0,21.07.2019,17:30,21-07-19 17:30,अभनपुर राजिम रोड राठी किराना दुकान के पास,21.050567,81.752261
ABHANPUR,396/19,26,M,0,NH,0,U,0,Unknown,8,No,1,Over Speeding,3,"279,337",0,1,0,0,06.08.2019,19:00,06-08-19 19:00,अभनपुर बस स्टैंड यात्री प्रतिक्षालय के सामने,21.048149,81.73591
ABHANPUR,488/20,32,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,21.12.2020,17:15,21-12-20 17:15,पी जामगांव रोड नहर पुलिया के पास ग्राम पी जामगांव,21.052639,81.808702
ABHANPUR,Jul-19,Not Known ,Unknown,2,O,2,R,1,Unknown,8,Unknown,2,Unknown,5,"279,337",0,1,0,0,04.01.2019,18:00,04-01-19 18:00,बड़े भांठा मोड़ अभनपुर सारखी रोड,21.053051,81.742623
ABHANPUR,60/20,Unknown,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15.02.2020,18:15,15-02-20 18:15,छत्तीसगढ ढाबा के आगे अभनपुर,21.085652,81.751768
ABHANPUR,310/19,Not known,Unknown,2,SH,1,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,24.06.2019,23:45,24-06-19 23:45,राजधानी ढाबा केंद्री के पास,21.10149,81.743306
DEEN DAYAL NAGAR,Nov-19,55,M,0,O,2,U,0,Bus,2,No,1,Over Speeding,3,279,1,0,0,0,15.01.2019,12:50,15-01-19 12:50,SUNDAR NAGAR TOLL PLAZA KE PASS,21.23002,81.605101
DEEN DAYAL NAGAR,287/19,36,M,0,NH,0,U,0,Auto Rickshaw,1,Yes,0,Over Speeding,3,"279,429",1,0,0,0,18.08.2019,22:30,18-08-19 22:30,RAIPURA,21.23118,81.601563
DEEN DAYAL NAGAR,201/21,Unknown,Unknown,2,O,2,U,0,Tempo/Tractor,6,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,10.06.2021,21:30,10-06-21 21:30,RAIPURA BAZAR CHOUK KE PAS,21.231481,81.602169
DEEN DAYAL NAGAR,Jun-21,58,M,0,O,2,U,0,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,03.01.2021,21:30,03-01-21 21:30,MAITRINAGAR CHOUK KE PASS,21.232351,81.604409
CIVIL LINES,52/19,29,M,0,O,2,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,25.01.2019,21:30,25-01-19 21:30,Khajana tiraha road civil line raipur,21.236757,81.649208
DEEN DAYAL NAGAR,188/21,30,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,31.05.2021,15:00,31-05-21 15:00,shubh honda showroom ke samane,21.236858,81.586265
CIVIL LINES,102/19,43,M,0,O,2,U,0,Car/Jeep/Van/Taxi,3,No,1,Over Speeding,3,"279,337",0,1,0,0,25.02.2019,15:55,25-02-19 15:55,ग्रास मेमोरियल मैदान के सामने रायपुर,21.23849,81.645725
CIVIL LINES,119/21,25,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,06.03.2021,14:30,06-03-21 14:30,छत्तीसगढ क्लब के सामने चौक के पास रायपुर,21.239442,81.653445
CIVIL LINES,259/19,36,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13.04.2019,14:30,13-04-19 14:30,Shiv sai mandir ke pass rajatalab raipur,21.246762,81.654994
DEEN DAYAL NAGAR,422/19,38,M,0,O,2,U,0,Motorised Two Wheeler,5,No,1,Over Speeding,3,279,1,0,0,0,17.11.2019,19:30,17-11-19 19:30,SARONA BAJAR,21.247677,81.570946
DEEN DAYAL NAGAR,152/21,Unknown,Unknown,2,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05.05.2021,8:00,05-05-21 8:00,BSUP COLONY SARONA,21.248367,81.579328
DHARSIWA,177/19,Unknown,Unknown,2,O,2,R,1,Truck/Trolly,7,Unknown,2,Over speeding,3,"279,304-A,337",0,0,1,0,02.04.2019,12:57,02-04-19 12:57,NEAR TALAB - NEURDIH,21.341036,81.71795
DHARSIWA,68/19,Unknown,Unknown,2,O,2,R,1,Unknown,8,Unknown,2,Over speeding,3,"279,304-A,337",0,0,1,0,09-02-19,11:10,09-02-19 11:10,NEAR DHANELI BRIDGE- DHANELI,21.346749,81.656431
DHARSIWA,Jun-19,32,M,0,NH,0,R,1,Motorised Two Wheeler,5,No,1,Over speeding,3,279,1,0,0,0,06-01-19,13:45,06-01-19 13:45,NEAR PETROL PUMP TURNING CHARODA,21.389531,81.670155
DHARSIWA,69/19,39,M,0,O,2,R,1,Bus,2,Unknown,2,Over speeding,3,279,1,0,0,0,09-02-19,18:10,09-02-19 18:10,NEAR GURU FULES - CHARODA,21.389531,81.670155
DHARSIWA,67/20,28,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over speeding,3,"279,337",0,1,0,0,18-02-20,1:30,18-02-20 1:30,NEAR GAIS GODAM KUNRA,21.432459,81.660655
DHARSIWA,85/20,28,M,0,O,2,R,1,Unknown,8,Unknown,2,Unknown,5,"279,304-A",0,0,1,0,26-02-20,19:40,26-02-20 19:40,INFRONT OF GOVT. HOSPITAL DHARSIWA,21.406639,81.671854
DHARSIWA,205/20,38,M,0,O,2,R,1,Heavy Articulated Vehicle/Trolly,4,Unknown,2,Over speeding,3,"279,337",0,1,0,0,12-06-20,16:40,12-06-20 16:40,INFRONT OF GURU FULES NH 30,21.387445,81.670241
DHARSIWA,234/20,26,M,0,O,2,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over speeding,3,"279,337",0,1,0,0,27-06-20,15:00,27-06-20 15:00,NEAR OF GURU FULES NH 30,21.387445,81.670241
DHARSIWA,333/20,30,M,0,O,2,R,1,Truck/Trolly,7,NO,1,Over speeding,3,"279,337",0,1,0,0,04-08-20,13:30,04-08-20 13:30,deori,21.463991,81.685256
DHARSIWA,498/20,Unknown,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over speeding,3,"279,139",1,0,0,0,11-11-20,18:04,11-11-20 18:04,NH- 30 SILTARA,21.364625,81.664384
DHARSIWA,18/21,59,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over speeding,3,"279,304-A",0,0,1,0,12-01-21,19:15,12-01-21 19:15,तिवरैया ओवर ब्रीज एन.एच 30,21.398238,81.679425
DHARSIWA,117/21,45,M,0,O,2,R,1,Heavy Articulated Vehicle/Trolly,4,Unknown,2,Over speeding,3,304-A,0,0,1,0,22-01-21,18:30,22-01-21 18:30,देवरी बायपास NH30,21.432553,81.687917
DHARSIWA,144/21,Unknown,Unknown,2,O,2,R,1,Unknown,8,Unknown,2,Over speeding,3,"279,337",0,1,0,0,13-03-21,15:45,13-03-21 15:45,तिवरैया NH 30,21.398238,81.679425
GOBRA NAWAPARA,44/19,34,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,15-02-19,22:45,15-02-19 22:45,तोरला आरंग मेन रोड पुलिया के पास,21.111356,81.91214
GOBRA NAWAPARA,204/20,25,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,29-05-20,18:30,29-05-20 18:30,आरंग रोड बस स्टैंड ग्राम तोरला,21.111356,81.91214
GOBRA NAWAPARA,430/20,31,M,0,O,2,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,25-10-20,18:40,25-10-20 18:40,मेन रोड फुलचंद कालेज के पास नवापारा,20.976696,81.840981
KHAMTARAI,31/19,57,M,0,O,2,U,0,Motorised Two Wheeler,5,NO,1,Over Speeding,3,279,1,0,0,0,20-01-19,20:10,20-01-19 20:10,थाना खमतराई के सामने,21.286663,81.635968
KHAMTARAI,189/19,Unknown,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,07-04-19,5:00,07-04-19 5:00,ब्यास तालाब के पास थाना खमतराई,21.304856,81.636337
KHAMTARAI,242/20,27,M,0,O,2,U,0,Truck/Trolly,7,Unknown,2,Unknown,5,279,1,0,0,0,06-06-20,8:00,06-06-20 8:00,डीएम टावर,21.305196,81.635425
KHAMTARAI,430/20,Unknown,Unknown,2,O,2,U,0,Unknown,8,Unknown,2,Unknown,5,279,1,0,0,0,16-09-20,17:50,16-09-20 17:50,बिलासपुर एन एच रोड 30,21.280228,81.635421
KHAMTARAI,165/21,Unknown,M,0,NH,0,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"283,304-A",0,0,1,0,11-03-21,7:00,11-03-21 7:00,दुर्गा पेट्रोल पंप के सामने रिंग रोड नंबर 02 भनपुरी,21.287992,81.621717
KHAMTARAI,199/21,27,M,0,O,2,U,0,Auto Rickshaw,1,Unknown,2,Over Speeding,3,279,1,0,0,0,24-03-21,22:30,24-03-21 22:30,उरकुरा रेल्वे क्रासिंग के आगे,21.300513,81.65525
KHAMTARAI,278/21,Unknown,M,0,O,2,U,0,Unknown,8,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,16-05-21,9:00,16-05-21 9:00,मेटल पार्क रांवाभाठा,21.319244,81.625231
KHARORA,44/19,39,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,31-01-19,7:00,31-01-19 7:00,BELDHARSIVNI,21.3643,81.914266
KHARORA,70/19,Unknown,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,No,1,Over Speeding,3,"279,337",0,1,0,0,26-02-19,18:30,26-02-19 18:30,MEN ROD MATD,21.392753,81.905097
KHARORA,363/19,Unknown,M,0,O,2,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,20-09-19,15:00,20-09-19 15:00,MEN ROD BANGOLI,21.398125,81.857684
KHARORA,28/20,25,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,22-12-19,7:15,22-12-19 7:15,mohrega jungal men road,21.43528,81.892446
KHARORA,45/20,28,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,25-02-20,6:30,25-02-20 6:30,garm seeri,21.402315,81.937205
KHARORA,91/20,Unknown,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,09-05-20,9:00,09-05-20 9:00,garm kanki men rod,21.384294,81.987888
KHARORA,147/20,34,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,22-05-20,16:00,22-05-20 16:00,भैसमुडी मेाड भैंसा के पास,21.406214,82.028523
KHARORA,157/20,38,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,304-A,0,0,1,0,20-06-20,8:00,20-06-20 8:00,GRAM DHANSULI NAHAR KE PAAS,21.410532,81.843834
KHARORA,159/20,40,M,0,SH,1,R,1,Heavy Articulated Vehicle/Trolly,4,Unknown,2,Over Speeding,3,304-A,0,0,1,0,21-06-20,9:30,21-06-20 9:30,gram kodhpar men rod,21.398796,81.925188
KHARORA,174/20,36,M,0,SH,1,R,1,Heavy Articulated Vehicle/Trolly,4,Unknown,2,Over Speeding,3,304-A,0,0,1,0,30-06-20,18:45,30-06-20 18:45,bronda farm ke paas saragaov,21.378635,81.818402
KHARORA,188/20,19,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,07-07-20,19:00,07-07-20 19:00,gram mohrenga bija banda mod ke paas,21.425292,81.895961
KHARORA,280/20,42,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,304-A,0,0,1,0,31-08-20,6:00,31-08-20 6:00,gram chicholi mukhaya marg,21.482079,81.845829
KHARORA,351/20,30,M,0,NH,0,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337,338",0,1,0,0,31-10-20,4:00,31-10-20 4:00,kanki bas satend ke paas men rod,21.395743,81.975369
KHARORA,27/21,Unknown,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,20-01-21,8:30,20-01-21 8:30,sharagaw,21.365334,81.801778
KHARORA,121/21,45,M,0,SH,1,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,21-03-21,5:15,21-03-21 5:15,gram broad bhatha,21.331386,81.75996
KHARORA,139/21,Unknown,M,0,SH,1,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,30-03-21,20:00,30-03-21 20:00,gram bhaish jayswal petrol pampa ke pass men rod,21.406773,82.02878
KOTWALI,513/19,42,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,17-11-19,20:45,17-11-19 20:45,बाल गोपाल अस्पताल के सामने रायपुर,21.235034,81.641566
KOTWALI,54/21,Unknown,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Unknown,5,"279,337",0,1,0,0,22-02-21,14:35,22-02-21 14:35,अलफ‍िसी  बिरयानी के सामने ओसीएम चौक,21.238044,81.644662
TELIBANDHA,83/19,35,M,0,O,2,U,0,Truck/Trolly,7,No,1,Over Speeding,3,"279,337",0,1,0,0,11-02-19,11:00,11-02-19 11:00,इंदिरा गांधी महाविद्यालय गेट के सामने रायपुर,21.236716,81.716648
TELIBANDHA,358/19,36,M,0,O,2,U,0,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,18-06-19,16:00,18-06-19 16:00,ऐश्वर्या रेसीडेंसी तेलीबांधा रायपुर,21.238784,81.676509
TELIBANDHA,548/19,23,M,0,O,2,U,0,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,21-11-19,17:30,21-11-19 17:30,तेलीबांधा महासमुंद बेरियर चौक रायपुर,21.239244,81.679571
TELIBANDHA,56/21,27,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"304-A,337",0,0,1,0,07-02-21,1:30,07-02-21 1:30,VIP ROAD GAURAV GARDEN KE SAMNE,21.223776,81.690215
TELIBANDHA,74/21,18,M,0,NH,0,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,429",1,0,0,0,18-02-21,20:15,18-02-21 20:15,निरंजन धर्मशाला के आगे मेन रोड में रायपुर,21.23525,81.681774
TELIBANDHA,203/21,Unknown,Unknown,2,SH,1,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,10-06-21,1:20,10-06-21 1:20,NEAR MAHASAMUND BARRIEAR CHOWK,21.239244,81.679571
TELIBANDHA,215/21,35,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,No,1,Over Speeding,3,"279,304-A",0,0,1,0,15-06-21,4:00,15-06-21 4:00,MANDIR HASAOD ROAD AGRAWAL KRISHI FARM NEAR NAMAK BULDING JORA TELIBANDHA,21.23434,81.710263
TELIBANDHA,116/19,17,M,0,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,05-02-19,19:45,05-02-19 19:45,AVANTI VIHAR,21.243257,81.669323
TELIBANDHA,29/19,34,M,0,NH,0,U,0,Car/Jeep/Van/Taxi,3,NO,1,Over Speeding,3,279,1,0,0,0,17-01-19,22:43,17-01-19 22:43,VIP ROAD NEAR NEELAM GARDEN,21.22974,81.684576
TELIBANDHA,436/19,59,M,0,SH,1,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,02-09-19,0:30,02-09-19 0:30,N/R SHEETAL HOTEL,21.234516,81.682037
GOBRA NAWAPARA,144/20,23,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15-03-20,12:25,15-03-20 12:25,लखना रोड चम्पारण,21.032805,81.923816
GOBRA NAWAPARA,145/20,Unknown,Unknown,2,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15-03-20,12:25,15-03-20 12:25,लखना रोड चम्पारण,21.032805,81.923816
GOBRA NAWAPARA,142/20,22,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13-03-20,23:00,13-03-20 23:00,मेन रोड सरकारी स्कूल के पास ग्राम सोंठ,21.011713,81.854297
GOBRA NAWAPARA,13/19,29,M,0,O,2,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,12-01-19,19:25,12-01-19 19:25,हनुमान एग्रो मील के आगे ग्राम पारागांव,20.984884,81.874725
